 # Integral loads: N.components: 1
 #                 Ref.sys     : MomentRef
 #                 Components  : wing
 #  t , Fx , Fy , Fz , Mx , My , Mz , ref_mat(9) , ref_off(3) 
  0.000000000000000E+000  0.273498914582280E+002 -0.109106397246048E+001  0.281898099227891E+003 -0.464316162354568E+001  0.524340598081552E+001 -0.515897904830545E+000  0.996194698100000E+000  0.000000000000000E+000 -0.871557427500000E-001  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.871557427500000E-001  0.000000000000000E+000  0.996194698100000E+000 -0.239684444362860E+000  0.000000000000000E+000  0.209696717056500E-001
  0.625000000000000E-002 -0.432722323104270E+001 -0.999392734364771E+000  0.167583168388527E+003 -0.296357684451577E+001  0.599870027508260E+001 -0.448103602499633E+000  0.996194698100000E+000  0.000000000000000E+000 -0.871557427500000E-001  0.298600676849846E-003  0.999994131044214E+000  0.341302135397026E-002  0.871552312367993E-001 -0.342605854104601E-002  0.996188851477363E+000 -0.239684444362860E+000  0.000000000000000E+000  0.209696717056500E-001
  0.125000000000000E-001 -0.481487899534034E+001 -0.106780543468321E+001  0.168305662369266E+003 -0.297741810575989E+001  0.754087940353456E+001 -0.484787141738449E+000  0.996194698100000E+000  0.000000000000000E+000 -0.871557427500000E-001  0.596737438050365E-003  0.999976560429563E+000  0.682074012780473E-002  0.871536998568288E-001 -0.684679424696160E-002  0.996171347724205E+000 -0.239684444362860E+000  0.000000000000000E+000  0.209696717056500E-001
  0.187500000000000E-001 -0.534452603118460E+001 -0.110969904126763E+001  0.173391940913397E+003 -0.301756288930712E+001  0.781335669688941E+001 -0.510588846600850E+000  0.996194698100000E+000  0.000000000000000E+000 -0.871557427500000E-001  0.893947131769310E-003  0.999947396688963E+000  0.102178624718368E-001  0.871511580693554E-001 -0.102568930464345E-001  0.996142294960442E+000 -0.239684444362860E+000  0.000000000000000E+000  0.209696717056500E-001
  0.250000000000000E-001 -0.575301814195440E+001 -0.112891963596978E+001  0.176740004216146E+003 -0.302507362785028E+001  0.784873894054950E+001 -0.524754175600151E+000  0.996194698100000E+000  0.000000000000000E+000 -0.871557427500000E-001  0.118976813195702E-002  0.999906819961368E+000  0.135991119761747E-001  0.871476215745235E-001 -0.136510583745444E-001  0.996101872639546E+000 -0.239684444362860E+000  0.000000000000000E+000  0.209696717056500E-001
  0.312500000000000E-001 -0.605193607636684E+001 -0.113384036969267E+001  0.179190232607321E+003 -0.301729916688519E+001  0.787537013067036E+001 -0.531033568905297E+000  0.996194698100000E+000  0.000000000000000E+000 -0.871557427500000E-001  0.148374109662107E-002  0.999855080872905E+000  0.169592383378201E-001  0.871431122158394E-001 -0.170240198729885E-001  0.996050330433935E+000 -0.239684444362860E+000  0.000000000000000E+000  0.209696717056500E-001
  0.375000000000000E-001 -0.627555703526990E+001 -0.113304383579461E+001  0.181004913211355E+003 -0.301474187366837E+001  0.789175366913161E+001 -0.533752560391767E+000  0.996194698100000E+000  0.000000000000000E+000 -0.871557427500000E-001  0.177540972059500E-002  0.999792498980424E+000  0.202930259648547E-001  0.871376578445174E-001 -0.203705420271346E-001  0.995987986684448E+000 -0.239684444362860E+000  0.000000000000000E+000  0.209696717056500E-001
  0.437500000000000E-001 -0.644120920928276E+001 -0.112870148491216E+001  0.182305763948320E+003 -0.301651965357429E+001  0.790658158825041E+001 -0.534573115077709E+000  0.996194698100000E+000  0.000000000000000E+000 -0.871557427500000E-001  0.206432148102253E-002  0.999719460787320E+000  0.235953024973628E-001  0.871312921465484E-001 -0.236854327194926E-001  0.995915226423719E+000 -0.239684444362860E+000  0.000000000000000E+000  0.209696717056500E-001
  0.500000000000000E-001 -0.656668680346258E+001 -0.111923341568880E+001  0.183286200214137E+003 -0.300932176399007E+001  0.791680294256468E+001 -0.532666054032316E+000  0.996194698100000E+000  0.000000000000000E+000 -0.871557427500000E-001  0.235002837382577E-002  0.999636417344233E+000  0.268609472253026E-001  0.871240544335856E-001 -0.269635516797402E-001  0.995832498986004E+000 -0.239684444362860E+000  0.000000000000000E+000  0.209696717056500E-001
  0.562500000000000E-001 -0.666299791632158E+001 -0.110588871561740E+001  0.184037599185233E+003 -0.299652765505653E+001  0.792432424113693E+001 -0.528754881573533E+000  0.996194698100000E+000  0.000000000000000E+000 -0.871557427500000E-001  0.263208763948463E-002  0.999543881449792E+000  0.300848993842018E-001  0.871159893989746E-001 -0.301998188121072E-001  0.995740315218578E+000 -0.239684444362860E+000  0.000000000000000E+000  0.209696717056500E-001
  0.625000000000000E-001 -0.673705294897093E+001 -0.108900412401875E+001  0.184612649544369E+003 -0.297695540853178E+001  0.793048912356063E+001 -0.522958997282350E+000  0.996194698100000E+000  0.000000000000000E+000 -0.871557427500000E-001  0.291006247652271E-002  0.999442424469136E+000  0.332621663103397E-001  0.871071468404683E-001 -0.333892223817083E-001  0.995639244312363E+000 -0.239684444362860E+000  0.000000000000000E+000  0.209696717056500E-001
  0.687500000000000E-001 -0.679318128214774E+001 -0.106972383241863E+001  0.185036749374502E+003 -0.295547292919890E+001  0.793714718044166E+001 -0.516011082177958E+000  0.996194698100000E+000  0.000000000000000E+000 -0.871557427500000E-001  0.318352274117270E-002  0.999332672790308E+000  0.363878314379580E-001  0.870975813513821E-001 -0.365268270423030E-001  0.995529910271807E+000 -0.239684444362860E+000  0.000000000000000E+000  0.209696717056500E-001
