  0.000000000000000E+000 -0.329919727607878E+002 -0.583946486162550E+000 -0.943219892793782E+002  0.721014491275740E+000  0.319110257754605E+002 -0.133759920345075E+000  0.996194698100000E+000  0.000000000000000E+000 -0.871557427000000E-001  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.871557427000000E-001  0.000000000000000E+000  0.996194698100000E+000 -0.239684444362860E+000  0.000000000000000E+000  0.209696716936200E-001
  0.625000000000000E-002 -0.333853381099648E+001 -0.993488130199151E+000  0.999790679690362E+002 -0.221714438395145E+001  0.205441302406338E+002 -0.413329096956499E+000  0.996194698100000E+000  0.298600676346049E-003 -0.871552311868008E-001  0.000000000000000E+000  0.999994131044227E+000  0.342605853723107E-002  0.871557427000000E-001 -0.341302135016983E-002  0.996188851477376E+000 -0.239684444362860E+000 -0.718433227288595E-004  0.209695486235443E-001
  0.125000000000000E-001 -0.427011125681740E+001 -0.111203711366762E+001  0.135532006515359E+003 -0.270451436870929E+001  0.145298132504610E+002 -0.490881633160837E+000  0.996194698100000E+000  0.596737437044587E-003 -0.871536998068345E-001  0.000000000000000E+000  0.999976560429615E+000  0.684679423934950E-002  0.871557427000000E-001 -0.682074012022160E-002  0.996171347724257E+000 -0.239684444362860E+000 -0.143575027352928E-003  0.209691801735244E-001
  0.187500000000000E-001 -0.497028512845911E+001 -0.117343342376453E+001  0.153266869347692E+003 -0.289016169635946E+001  0.120726644865565E+002 -0.531861755643354E+000  0.996194698100000E+000  0.893947130265179E-003 -0.871511580193682E-001  0.000000000000000E+000  0.999947396689080E+000  0.102568930350608E-001  0.871557427000000E-001 -0.102178624605064E-001  0.996142294960559E+000 -0.239684444362860E+000 -0.215083679541802E-003  0.209685686194600E-001
  0.250000000000000E-001 -0.544252223844207E+001 -0.120568706772297E+001  0.163715304704257E+003 -0.297107135122563E+001  0.106604794324812E+002 -0.553787196224890E+000  0.996194698100000E+000  0.118976812995997E-002 -0.871476215245461E-001  0.000000000000000E+000  0.999906819961573E+000  0.136510583594622E-001  0.871557427000000E-001 -0.135991119611499E-001  0.996101872639751E+000 -0.239684444362860E+000 -0.286258212068369E-003  0.209677177388058E-001
  0.312500000000000E-001 -0.575955257935718E+001 -0.122074899012457E+001  0.170106889911456E+003 -0.300190223004806E+001  0.979524896485859E+001 -0.564789624332153E+000  0.996194698100000E+000  0.148374109413831E-002 -0.871431121658744E-001  0.000000000000000E+000  0.999855080873224E+000  0.170240198542684E-001  0.871557427000000E-001 -0.169592383191714E-001  0.996050330434253E+000 -0.239684444362860E+000 -0.356988107249678E-003  0.209666327871094E-001
  0.375000000000000E-001 -0.597276689330833E+001 -0.122513194726275E+001  0.174128850584274E+003 -0.300623462674775E+001  0.926163495886813E+001 -0.569283464355509E+000  0.996194698100000E+000  0.177540971763553E-002 -0.871376577945674E-001  0.000000000000000E+000  0.999792498980878E+000  0.203705420048647E-001  0.871557427000000E-001 -0.202930259426695E-001  0.995987986684900E+000 -0.239684444362860E+000 -0.427163578063108E-003  0.209653204653729E-001
  0.437500000000000E-001 -0.611805359456827E+001 -0.122243379461368E+001  0.176732342648767E+003 -0.299530574377041E+001  0.892716175812002E+001 -0.569645728575444E+000  0.996194698100000E+000  0.206432147759707E-002 -0.871312920966155E-001  0.000000000000000E+000  0.999719460787930E+000  0.236854326937779E-001  0.871557427000000E-001 -0.235953024717459E-001  0.995915226424326E+000 -0.239684444362860E+000 -0.496675747509856E-003  0.209637888784457E-001
  0.500000000000000E-001 -0.621880090239231E+001 -0.121469936459979E+001  0.178461953645925E+003 -0.297443862777269E+001  0.871350327595179E+001 -0.567186127073976E+000  0.996194698100000E+000  0.235002836994678E-002 -0.871240543836721E-001  0.000000000000000E+000  0.999636417345016E+000  0.269635516507024E-001  0.871557427000000E-001 -0.268609471963753E-001  0.995832498986784E+000 -0.239684444362860E+000 -0.565416825809195E-003  0.209620474847115E-001
  0.562500000000000E-001 -0.628994443448044E+001 -0.120312124634797E+001  0.179639316489900E+003 -0.294628703219045E+001  0.857438399641069E+001 -0.562651393166792E+000  0.996194698100000E+000  0.263208763516625E-002 -0.871159893490822E-001  0.000000000000000E+000  0.999543881450766E+000  0.301998187798846E-001  0.871557427000000E-001 -0.300848993521018E-001  0.995740315219548E+000 -0.239684444362860E+000 -0.633280285020999E-003  0.209601070373892E-001
  0.625000000000000E-001 -0.634108532434614E+001 -0.118842174357227E+001  0.180459002122198E+003 -0.291213826821004E+001  0.848201833199712E+001 -0.556481381659008E+000  0.996194698100000E+000  0.291006247178073E-002 -0.871071467905988E-001  0.000000000000000E+000  0.999442424470314E+000  0.333892223464551E-001  0.871557427000000E-001 -0.332621662752206E-001  0.995639244313536E+000 -0.239684444362860E+000 -0.700161030710444E-003  0.209579795178181E-001
  0.687500000000000E-001 -0.637845197056492E+001 -0.117106287758424E+001  0.181041675560186E+003 -0.287272179945246E+001  0.841959089471638E+001 -0.548951897519347E+000  0.996194698100000E+000  0.318352273602452E-002 -0.870975813015368E-001  0.000000000000000E+000  0.999332672791702E+000  0.365268270041892E-001  0.871557427000000E-001 -0.363878313999892E-001  0.995529910273195E+000 -0.239684444362860E+000 -0.765955570287500E-003  0.209556780611498E-001
  0.750000000000000E-001 -0.640618026891547E+001 -0.115134036737931E+001  0.181463962315659E+003 -0.282845099254407E+001  0.837665108301614E+001 -0.540238252314112E+000  0.996194698100000E+000  0.345204562624460E-002 -0.870873519323152E-001  0.000000000000000E+000  0.999215303942505E+000  0.396077816481576E-001  0.871557427000000E-001 -0.394570620813971E-001  0.995412988047903E+000 -0.239684444362860E+000 -0.830562177674452E-003  0.209532168749150E-001
