 # Integral loads: N.components: 1
 #                 Ref.sys     : MomentRef
 #                 Components  : wing
 #  t , Fx , Fy , Fz , Mx , My , Mz , ref_mat(9) , ref_off(3) 
  0.000000000000000E+000 -0.298832254738098E+002  0.343498667010333E-012  0.925724775742286E+003  0.106501220810904E-011  0.210251360455204E+000  0.248581940741286E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.625000000000000E-002 -0.708313888037653E+002  0.492642385219177E-012  0.570859534557106E+003  0.458064429456881E-012  0.127527890178718E+002  0.298625116890560E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.125000000000000E-001 -0.734680860021643E+002  0.388695152453433E-012  0.553922337719928E+003  0.959531374189308E-012  0.179372799152988E+002  0.341277325920757E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.187500000000000E-001 -0.773671464010029E+002  0.503559000053500E-012  0.574486817640190E+003  0.543716954953530E-012  0.185752253701379E+002  0.337912015561424E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.250000000000000E-001 -0.806215264952558E+002  0.726493518121707E-012  0.587480162788646E+003  0.121671274288763E-011  0.183980568307091E+002  0.486361484097496E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.312500000000000E-001 -0.830594914024394E+002  0.543503610173079E-012  0.596095676717480E+003  0.125938464465713E-011  0.183378054492817E+002  0.537347834789922E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.375000000000000E-001 -0.848564432942527E+002  0.696634590291456E-012  0.602047237351691E+003  0.384981040731673E-012  0.183343449205891E+002  0.473623510000535E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.437500000000000E-001 -0.861790670933727E+002  0.633826324758502E-012  0.606317895268083E+003  0.610840265286814E-012  0.183435849794874E+002  0.416655203414264E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.500000000000000E-001 -0.871948984746956E+002  0.653882330226008E-012  0.609662406259713E+003  0.981934889921393E-012  0.183446939664652E+002  0.511865318529965E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
  0.562500000000000E-001 -0.879565925104104E+002  0.631583327304064E-012  0.612080601453245E+003  0.123334835429689E-011  0.183538509508496E+002  0.545465442479784E-012  0.978147600700000E+000  0.000000000000000E+000 -0.207911690800000E+000  0.000000000000000E+000  0.100000000000000E+001  0.000000000000000E+000  0.207911690800000E+000  0.000000000000000E+000  0.978147600700000E+000 -0.235342312728420E+000  0.000000000000000E+000  0.500235528064800E-001
